Name=Helen
Max HRT=178
V02=160
Anaerobic=142
Aerobic=125
Fat Burn=107
Warm Up=89
start_time=1382743850
Reading,Time(s),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0.000,99,0,99,99,79
2,0.246,99,0,99,99,79
3,0.493,99,0,99,99,79
4,0.739,99,0,99,99,79
5,0.985,99,0,99,99,79
6,1.232,99,0,99,99,79
7,2.218,105,0,99,105,79
8,2.463,105,0,100,105,79
9,2.710,106,0,101,106,79
10,2.956,106,0,101,106,79
11,3.202,107,0,102,107,79
12,3.448,107,0,102,107,79
13,3.695,107,0,102,107,79
14,3.940,107,0,103,107,79
15,4.187,108,0,103,108,79
16,4.433,108,0,103,108,79
17,4.679,108,0,104,108,79
18,4.926,109,0,104,109,79
19,5.172,109,0,104,109,79
20,5.418,109,0,104,109,79
21,5.664,109,1,104,109,79
22,5.911,109,1,105,109,79
23,6.157,109,1,105,109,79
24,6.403,109,1,105,109,79
25,6.650,109,1,105,109,79
26,6.896,109,1,105,109,79
27,7.142,108,1,105,109,79
28,7.389,108,1,105,109,79
29,7.635,107,1,105,109,79
30,7.881,107,1,105,109,79
31,8.127,106,1,105,109,79
32,8.373,106,1,105,109,79
33,8.620,106,1,105,109,79
34,8.866,105,1,105,109,79
35,9.112,105,1,105,109,79
36,9.359,104,1,105,109,79
37,9.605,104,1,105,109,79
38,9.851,104,1,105,109,79
39,10.097,104,1,105,109,79
40,10.344,104,1,105,109,79
41,10.590,103,1,105,109,79
42,10.836,103,1,105,109,79
43,11.082,103,1,105,109,79
44,11.328,104,1,105,109,79
45,11.575,104,1,105,109,79
46,11.821,104,1,105,109,79
47,12.067,104,1,105,109,79
48,12.314,104,1,105,109,79
49,12.560,104,1,105,109,79
50,12.806,104,1,105,109,79
51,13.052,104,1,105,109,79
52,13.299,104,1,105,109,79
53,13.545,104,1,105,109,79
54,13.791,104,1,105,109,79
55,14.037,104,1,105,109,79
56,14.283,104,1,105,109,79
57,14.529,104,1,105,109,79
58,14.776,104,1,105,109,79
59,15.022,104,1,105,109,79
60,15.268,104,1,105,109,79
61,15.515,104,1,105,109,79
62,15.762,104,1,105,109,79
63,35.464,106,3,105,109,79
64,35.710,106,3,105,109,79
65,35.956,106,3,105,109,79
66,36.203,106,3,105,109,79
67,36.449,106,3,105,109,79
68,36.695,106,3,105,109,79
69,36.941,106,3,105,109,79
70,37.188,106,3,105,109,79
71,37.434,106,3,105,109,79
72,37.680,105,3,105,109,79
73,37.926,105,3,105,109,79
74,38.173,105,3,105,109,79
75,38.419,105,3,105,109,79
76,38.665,105,3,105,109,79
77,38.911,105,3,105,109,79
78,39.158,105,3,105,109,79
79,39.404,104,3,105,109,79
80,39.650,104,3,105,109,79
81,39.896,105,3,105,109,79
82,40.143,105,3,105,109,79
83,40.389,105,3,105,109,79
84,40.635,105,4,105,109,79
85,40.881,105,4,105,109,79
86,41.128,104,4,105,109,79
87,41.374,104,4,105,109,79
88,41.620,104,4,105,109,79
89,41.866,104,4,105,109,79
90,42.113,104,4,105,109,79
91,42.359,104,4,105,109,79
92,42.605,104,4,105,109,79
93,42.852,105,4,105,109,79
94,43.098,105,4,105,109,79
95,43.344,105,4,105,109,79
96,43.590,105,4,105,109,79
97,43.836,106,4,105,109,79
98,44.083,106,4,105,109,79
99,44.329,106,4,105,109,79
100,44.575,106,4,105,109,79
101,44.822,106,4,105,109,79
102,45.068,107,4,105,109,79
103,45.314,107,4,105,109,79
104,45.560,108,4,105,109,79
105,45.807,108,4,105,109,79
106,46.053,108,4,105,109,79
107,46.299,108,4,105,109,79
108,46.545,108,4,105,109,79
109,46.792,108,4,105,109,79
110,47.038,108,4,105,109,79
111,47.284,108,4,105,109,79
112,47.530,108,4,105,109,79
113,47.777,108,4,105,109,79
114,48.023,108,4,105,109,79
115,48.269,108,4,105,109,79
116,48.515,108,4,105,109,79
117,48.762,108,4,105,109,79
118,49.008,108,4,105,109,79
119,49.254,109,4,105,109,79
120,49.500,109,4,105,109,79
