Name=Helen,,,,,,
Max HRT=178,,,,,,
V02=160,,,,,,
Anaerobic=142,,,,,,
Aerobic=125,,,,,,
Fat Burn=107,,,,,,
Warm Up=89,,,,,,
start_time=1382829162,,,,,,
Reading,Time(s),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,104,0,104,104,93
2,0.247,104,0,104,104,93
3,0.493,104,0,104,104,93
4,0.739,105,0,104,105,93
5,0.985,105,0,104,105,93
6,1.232,105,0,104,105,93
7,1.478,105,0,104,105,93
8,1.724,105,0,104,105,93
9,1.97,105,0,104,105,93
10,2.217,105,0,104,105,93
11,2.463,105,0,104,105,93
12,2.709,105,0,104,105,93
13,2.955,106,0,104,106,93
14,3.202,106,0,104,106,93
15,3.448,106,0,105,106,93
16,3.694,106,0,105,106,93
17,3.94,106,0,105,106,93
18,4.187,105,0,105,106,93
19,4.433,105,0,105,106,93
20,4.679,105,0,105,106,93
21,4.926,105,0,105,106,93
22,5.172,105,0,105,106,93
23,5.418,105,0,105,106,93
24,5.664,105,1,105,106,93
25,5.911,104,1,105,106,93
26,6.157,104,1,105,106,93
27,6.403,104,1,104,106,93
28,6.65,104,1,104,106,93
29,6.897,104,1,104,106,93
30,7.143,104,1,104,106,93
31,7.389,104,1,104,106,93
32,7.635,104,1,104,106,93
33,7.882,104,1,104,106,93
34,8.128,104,1,104,106,93
35,8.374,104,1,104,106,93
36,8.62,104,1,104,106,93
37,8.867,104,1,104,106,93
38,9.113,104,1,104,106,93
39,9.359,104,1,104,106,93
40,9.605,104,1,104,106,93
41,9.852,103,1,104,106,93
42,10.098,103,1,104,106,93
43,10.344,103,1,104,106,93
44,10.59,104,1,104,106,93
45,10.837,104,1,104,106,93
46,11.083,104,1,104,106,93
47,11.329,104,1,104,106,93
48,11.576,105,1,104,106,93
49,11.822,105,1,104,106,93
50,12.068,105,1,104,106,93
51,12.314,105,1,104,106,93
52,12.561,105,1,104,106,93
53,12.807,106,1,104,106,93
54,13.053,106,1,104,106,93
55,13.299,107,1,104,107,93
56,13.546,107,1,104,107,93
57,13.792,108,1,104,108,93
58,14.038,108,1,104,108,93
59,14.284,108,1,104,108,93
60,14.531,108,1,104,108,93
61,14.777,108,1,104,108,93
62,15.023,108,1,105,108,93
63,15.269,108,1,105,108,93
64,15.516,108,1,105,108,93
65,15.762,108,1,105,108,93
66,16.008,108,1,105,108,93
67,16.254,108,1,105,108,93
68,16.501,108,1,105,108,93
69,16.747,108,1,105,108,93
70,16.993,109,1,105,109,93
71,17.239,109,1,105,109,93
72,17.486,109,2,105,109,93
73,17.732,109,2,105,109,93
74,17.978,109,2,105,109,93
75,18.225,109,2,105,109,93
76,18.471,109,2,105,109,93
77,18.717,109,2,105,109,93
78,18.963,109,2,105,109,93
79,19.21,109,2,105,109,93
80,19.456,109,2,105,109,93
81,19.702,109,2,105,109,93
82,19.948,109,2,105,109,93
83,20.195,110,2,105,110,93
84,20.441,110,2,105,110,93
85,20.687,110,2,106,110,93
86,20.933,110,2,106,110,93
87,21.18,110,2,106,110,93
88,21.426,109,2,106,110,93
89,21.672,109,2,106,110,93
90,21.918,110,2,106,110,93
91,22.165,110,2,106,110,93
92,22.411,110,2,106,110,93
93,22.657,110,2,106,110,93
94,22.903,110,2,106,110,93
95,23.15,110,2,106,110,93
96,23.396,110,2,106,110,93
97,23.642,110,2,106,110,93
98,23.888,110,2,106,110,93
99,24.136,111,2,106,111,93
100,24.382,111,2,106,111,93
101,24.628,111,2,106,111,93
102,24.875,111,2,106,111,93
103,25.121,111,2,106,111,93
104,25.367,111,2,106,111,93
105,25.613,111,2,106,111,93
106,25.86,111,2,106,111,93
107,26.106,112,2,106,112,93
108,26.352,112,2,106,112,93
109,26.598,112,2,107,112,93
110,26.845,112,2,107,112,93
111,27.091,112,2,107,112,93
112,27.337,112,2,107,112,93
113,27.583,112,2,107,112,93
114,27.83,113,2,107,113,93
115,28.076,113,3,107,113,93
116,28.322,113,3,107,113,93
117,28.568,113,3,107,113,93
118,28.815,113,3,107,113,93
119,29.061,113,3,107,113,93
120,29.307,113,3,107,113,93
121,29.553,113,3,107,113,93
122,29.8,112,3,107,113,93
123,30.046,112,3,107,113,93
124,30.292,112,3,107,113,93
125,30.539,112,3,107,113,93
126,30.784,112,3,107,113,93
127,31.031,112,3,107,113,93
128,31.277,112,3,107,113,93
129,31.524,112,3,107,113,93
130,32.894,112,3,107,113,93
131,32.903,113,3,107,113,93
132,32.911,113,3,107,113,93
133,33.001,113,3,108,113,93
134,33.247,113,3,108,113,93
135,33.493,113,3,108,113,93
136,33.74,113,3,108,113,93
137,33.986,114,3,108,114,93
138,34.232,114,3,108,114,93
139,34.478,114,3,108,114,93
140,34.725,114,3,108,114,93
141,34.972,115,3,108,115,93
142,35.217,115,3,108,115,93
143,35.464,115,3,108,115,93
144,35.71,115,3,108,115,93
145,35.956,116,3,108,116,93
146,36.202,116,3,108,116,93
147,36.448,116,3,108,116,93
148,36.695,116,3,108,116,93
149,36.941,116,3,108,116,93
150,37.187,116,3,108,116,93
151,37.434,116,3,108,116,93
152,37.68,117,3,108,117,93
153,37.926,117,4,108,117,93
154,38.172,117,4,108,117,93
155,38.419,117,4,109,117,93
156,38.665,118,4,109,118,93
157,38.911,118,4,109,118,93
158,39.157,118,4,109,118,93
159,39.404,118,4,109,118,93
160,39.65,119,4,109,119,93
161,39.896,119,4,109,119,93
162,40.142,119,4,109,119,93
163,40.389,119,4,109,119,93
164,40.635,119,4,109,119,93
165,40.881,119,4,109,119,93
166,41.128,119,4,109,119,93
167,41.374,119,4,109,119,93
168,41.621,120,4,109,120,93
169,41.867,120,4,109,120,93
