Max HRT=179
V02=161
Anaerobic=143
Aerobic=125
Fat Burn=107
Warm Up=89
Reading,Time(s),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,58,0,58,67,58
2,0,58,0,58,67,58
3,1,58,0,58,67,58
4,1,58,0,58,67,58
5,1,58,0,58,67,58
6,1,58,0,58,67,58
7,2,58,0,58,67,58
8,2,58,0,58,67,58
9,2,58,0,58,67,58
10,2,58,0,58,67,58
11,3,58,0,58,67,58
12,3,58,0,58,67,58
13,3,58,0,58,67,58
14,3,58,0,58,67,58
15,4,58,0,58,67,58
16,4,58,0,58,67,58
17,4,58,0,58,67,58
18,4,58,0,58,67,58
19,5,58,0,58,67,58
20,5,58,0,58,67,58
21,5,58,0,58,67,58
22,5,58,0,58,67,58
23,6,58,0,58,67,58
24,6,58,0,58,67,58
25,6,58,0,58,67,58
26,6,59,0,58,67,58
27,7,59,0,58,67,58
28,7,59,0,58,67,58
29,7,59,0,58,67,58
30,7,59,0,58,67,58
31,8,59,0,58,67,58
32,8,60,0,58,67,58
33,8,60,0,58,67,58
34,8,60,0,58,67,58
35,9,60,0,58,67,58
36,9,60,0,58,67,58
37,9,60,0,58,67,58
38,10,60,0,58,67,58
39,10,60,0,58,67,58
40,11,61,0,58,67,58
41,11,62,0,58,67,58
42,11,62,0,58,67,58
43,11,62,0,58,67,58
44,11,62,0,58,67,58
45,11,63,0,59,67,58
46,12,63,0,59,67,58
47,12,63,0,59,67,58
48,12,63,0,59,67,58
49,12,63,0,59,67,58
50,13,63,0,59,67,58
51,13,63,0,59,67,58
52,13,63,0,59,67,58
53,13,63,0,59,67,58
54,14,63,0,59,67,58
55,14,63,0,59,67,58
56,14,63,0,59,67,58
57,14,63,0,59,67,58
58,15,63,0,59,67,58
59,15,63,0,59,67,58
60,15,63,0,60,67,58
61,15,63,0,60,67,58
62,16,63,0,60,67,58
63,16,63,0,60,67,58
64,16,62,0,60,67,58
65,16,62,0,60,67,58
66,17,62,0,60,67,58
67,17,62,0,60,67,58
68,17,62,0,60,67,58
69,17,61,0,60,67,58
70,18,61,0,60,67,58
71,18,61,0,60,67,58
72,18,61,0,60,67,58
73,18,60,0,60,67,58
74,19,60,0,60,67,58
75,19,60,0,60,67,58
76,19,60,0,60,67,58
77,19,60,0,60,67,58
78,20,60,0,60,67,58
79,20,60,0,60,67,58
80,20,60,0,60,67,58
81,20,60,1,60,67,58
82,21,60,1,60,67,58
83,21,60,1,60,67,58
84,21,60,1,60,67,58
85,21,60,1,60,67,58
86,22,60,1,60,67,58
87,22,60,1,60,67,58
88,22,60,1,60,67,58
89,22,60,1,60,67,58
90,23,60,1,60,67,58
91,23,60,1,60,67,58
92,23,60,1,60,67,58
93,23,61,1,60,67,58
94,24,61,1,60,67,58
95,24,61,1,60,67,58
96,24,61,1,60,67,58
97,24,61,1,60,67,58
98,25,61,1,60,67,58
99,25,61,1,60,67,58
100,25,62,1,60,67,58
101,25,62,1,60,67,58
102,26,62,1,60,67,58
103,26,62,1,60,67,58
104,26,63,1,60,67,58
105,26,63,1,60,67,58
106,27,63,1,60,67,58
107,27,63,1,60,67,58
108,27,63,1,60,67,58
109,27,63,1,60,67,58
110,28,63,1,60,67,58
111,28,64,1,60,67,58
112,28,64,1,60,67,58
113,28,64,1,60,67,58
114,28,64,1,60,67,58
115,29,64,1,60,67,58
116,29,64,1,60,67,58
117,29,64,1,60,67,58
118,29,64,1,60,67,58
119,30,64,1,60,67,58
120,30,64,1,60,67,58
121,30,64,1,60,67,58
122,30,64,1,60,67,58
123,31,64,1,60,67,58
124,31,64,1,60,67,58
125,31,64,1,60,67,58
126,31,64,1,60,67,58
127,32,64,1,61,67,58
128,32,64,1,61,67,58
129,32,64,1,61,67,58
130,32,64,1,61,67,58
131,33,64,1,61,67,58
132,33,64,1,61,67,58
133,33,65,1,61,67,58
134,33,65,1,61,67,58
135,34,65,1,61,67,58
136,34,65,1,61,67,58
137,34,65,1,61,67,58
138,34,65,1,61,67,58
139,35,65,1,61,67,58
140,35,65,1,61,67,58
141,35,65,1,61,67,58
142,35,65,1,61,67,58
143,36,65,1,61,67,58
144,36,65,1,61,67,58
145,36,65,1,61,67,58
146,36,65,1,61,67,58
147,37,65,1,61,67,58
148,37,66,1,61,67,58
149,37,66,1,61,67,58
150,37,66,1,61,67,58
151,38,67,1,61,67,58
152,38,67,1,61,67,58
153,38,67,1,61,67,58
154,38,68,1,61,68,58
155,39,68,1,61,68,58
156,39,68,1,61,68,58
157,39,68,1,61,68,58
158,39,69,1,61,69,58
159,40,69,1,61,69,58
160,40,69,1,62,69,58
161,40,69,1,62,69,58
162,40,69,1,62,69,58
163,41,69,1,62,69,58
164,41,69,1,62,69,58
165,41,69,1,62,69,58
166,41,69,1,62,69,58
167,42,69,1,62,69,58
168,42,69,1,62,69,58
169,42,69,1,62,69,58
170,42,69,1,62,69,58
171,43,69,1,62,69,58
172,43,69,1,62,69,58
173,43,70,1,62,70,58
174,43,70,1,62,70,58
175,44,70,1,62,70,58
176,44,72,1,62,72,58
177,44,72,1,62,72,58
178,44,74,1,62,74,58
179,44,74,1,62,74,58
180,45,74,1,62,74,58
181,45,76,1,62,76,58
182,45,76,1,63,76,58
183,45,76,1,63,76,58
184,46,77,1,63,77,58
185,46,77,1,63,77,58
186,46,77,1,63,77,58
187,46,79,2,63,79,58
188,47,79,2,63,79,58
189,47,80,2,63,80,58
190,47,80,2,63,80,58
191,47,80,2,63,80,58
192,48,81,2,63,81,58
193,48,81,2,63,81,58
194,48,81,2,64,81,58
195,48,82,2,64,82,58
196,49,82,2,64,82,58
197,49,82,2,64,82,58
198,50,83,2,64,83,58
199,50,83,2,64,83,58
200,50,83,2,64,83,58
201,50,83,2,64,83,58
202,51,82,2,64,83,58
203,51,82,2,64,83,58
204,51,82,2,64,83,58
205,52,82,2,65,83,58
206,52,82,2,65,83,58
207,52,82,2,65,83,58
208,52,82,2,65,83,58
209,53,82,2,65,83,58
210,53,82,2,65,83,58
211,53,82,2,65,83,58
212,53,82,2,65,83,58
213,54,82,2,65,83,58
214,54,82,2,65,83,58
215,54,82,2,65,83,58
216,54,82,2,65,83,58
217,55,82,2,65,83,58
218,55,82,2,66,83,58
219,55,82,2,66,83,58
220,55,82,2,66,83,58
221,56,82,2,66,83,58
222,56,81,2,66,83,58
223,56,81,2,66,83,58
224,56,81,2,66,83,58
225,57,81,2,66,83,58
226,57,81,2,66,83,58
227,57,81,2,66,83,58
228,57,81,2,66,83,58
229,58,81,2,66,83,58
230,58,81,2,66,83,58
231,58,80,2,66,83,58
232,58,80,2,66,83,58
233,59,80,2,67,83,58
234,59,81,2,67,83,58
235,59,81,2,67,83,58
236,59,81,3,67,83,58
237,60,81,3,67,83,58
238,60,81,3,67,83,58
