Max HRT=179
V02=161
Anaerobic=143
Aerobic=125
Fat Burn=107
Warm Up=89
Reading,Time(s),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,54,0,54,60,54
2,0,54,0,54,60,54
3,1,54,0,54,60,54
4,1,54,0,54,60,54
5,1,53,0,53,60,53
6,1,53,0,53,60,53
7,2,53,0,53,60,53
8,2,53,0,53,60,53
9,2,53,0,53,60,53
10,2,53,0,53,60,53
11,3,53,0,53,60,53
12,3,53,0,53,60,53
13,3,53,0,53,60,53
14,3,53,0,53,60,53
15,4,53,0,53,60,53
16,4,53,0,53,60,53
17,4,53,0,53,60,53
18,4,53,0,53,60,53
19,5,53,0,53,60,53
20,5,55,0,53,60,53
21,5,55,0,53,60,53
22,5,55,0,53,60,53
23,5,55,0,53,60,53
24,6,55,0,53,60,53
25,6,55,0,53,60,53
26,6,55,0,53,60,53
27,6,55,0,53,60,53
28,7,55,0,53,60,53
29,7,55,0,53,60,53
30,7,55,0,53,60,53
31,7,55,0,53,60,53
32,8,55,0,53,60,53
33,8,55,0,53,60,53
34,8,55,0,54,60,53
35,8,55,0,54,60,53
36,9,55,0,54,60,53
37,9,55,0,54,60,53
38,9,55,0,54,60,53
39,9,55,0,54,60,53
40,10,55,0,54,60,53
41,10,55,0,54,60,53
42,10,55,0,54,60,53
43,10,55,0,54,60,53
44,11,55,0,54,60,53
45,11,55,0,54,60,53
46,11,55,0,54,60,53
47,11,55,0,54,60,53
48,12,55,0,54,60,53
49,12,55,0,54,60,53
50,12,55,0,54,60,53
51,12,57,0,54,60,53
52,13,57,0,54,60,53
53,13,57,0,54,60,53
54,13,57,0,54,60,53
55,13,57,0,54,60,53
56,14,57,0,54,60,53
57,14,57,0,54,60,53
58,14,57,0,54,60,53
59,14,57,0,54,60,53
60,15,57,0,54,60,53
61,15,57,0,54,60,53
62,15,57,0,54,60,53
63,15,57,0,54,60,53
64,16,57,0,54,60,53
65,16,57,0,54,60,53
66,16,57,0,54,60,53
67,16,57,0,55,60,53
68,17,59,0,55,60,53
69,17,59,0,55,60,53
70,17,59,0,55,60,53
71,17,59,0,55,60,53
72,18,61,0,55,61,53
73,18,61,0,55,61,53
74,18,61,0,55,61,53
75,18,63,0,55,63,53
76,19,63,0,55,63,53
77,19,63,0,55,63,53
78,19,65,0,55,65,53
79,19,65,0,55,65,53
80,20,65,0,56,65,53
81,20,66,0,56,66,53
82,20,66,0,56,66,53
83,20,66,0,56,66,53
84,21,68,0,56,68,53
85,21,68,0,56,68,53
