Max HRT=179
V02=161
Anaerobic=143
Aerobic=125
Fat Burn=107
Warm Up=89
Reading,Time(s),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,90,0,90,90,56
2,1,90,0,90,90,56
3,1,90,0,90,90,56
4,1,90,0,90,90,56
5,1,90,0,90,90,56
6,1,90,0,90,90,56
7,2,90,0,90,90,56
8,2,90,0,90,90,56
9,2,99,0,91,99,56
10,2,99,0,91,99,56
11,3,107,0,93,107,56
12,3,107,0,94,107,56
13,3,107,0,95,107,56
14,3,107,0,96,107,56
15,4,107,0,96,107,56
16,4,107,0,97,107,56
17,4,107,1,98,107,56
18,4,112,1,98,112,56
19,5,112,1,99,112,56
20,5,118,1,100,118,56
21,5,118,1,101,118,56
22,5,118,1,102,118,56
23,6,118,1,102,118,56
24,6,118,1,103,118,56
25,6,118,1,103,118,56
26,6,118,1,104,118,56
27,7,118,1,105,118,56
28,7,118,1,105,118,56
29,7,115,1,105,118,56
30,7,115,1,106,118,56
31,8,115,1,106,118,56
32,8,115,1,106,118,56
33,8,115,1,106,118,56
34,8,115,1,107,118,56
35,9,115,1,107,118,56
36,9,115,1,107,118,56
37,9,121,1,107,121,56
38,9,121,1,108,121,56
39,10,125,1,108,125,56
40,10,129,1,109,129,56
41,10,129,2,109,129,56
42,10,133,2,110,133,56
43,11,133,2,110,133,56
44,11,133,2,111,133,56
45,11,137,2,111,137,56
46,11,139,2,112,139,56
47,12,139,2,113,139,56
48,12,142,2,113,142,56
49,12,143,2,114,143,56
50,12,143,2,114,143,56
51,13,145,2,115,145,56
52,13,145,2,115,145,56
53,13,146,2,116,146,56
54,13,147,2,117,147,56
55,14,147,2,117,147,56
56,14,148,2,118,148,56
57,14,150,2,118,150,56
58,14,150,2,119,150,56
59,15,150,3,119,150,56
60,15,151,3,120,151,56
61,15,151,3,120,151,56
62,15,151,3,121,151,56
63,16,151,3,121,151,56
64,16,151,3,122,151,56
65,16,151,3,122,151,56
66,16,151,3,123,151,56
67,17,151,3,123,151,56
68,17,151,3,123,151,56
69,17,151,3,124,151,56
70,17,152,3,124,152,56
71,17,152,3,125,152,56
72,18,152,3,125,152,56
73,18,152,3,125,152,56
74,18,153,3,126,153,56
75,18,153,4,126,153,56
76,19,153,4,126,153,56
77,19,153,4,127,153,56
78,19,152,4,127,153,56
79,19,152,4,127,153,56
80,20,153,4,128,153,56
81,20,153,4,128,153,56
82,20,153,4,128,153,56
83,20,153,4,129,153,56
84,21,153,4,129,153,56
85,21,153,4,129,153,56
86,21,153,4,129,153,56
87,21,152,4,130,153,56
88,22,152,4,130,153,56
89,22,152,4,130,153,56
90,22,152,4,130,153,56
91,22,152,5,131,153,56
