Max HRT=179
V02=161
Anaerobic=143
Aerobic=125
Fat Burn=107
Warm Up=89
Reading,Time(s),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,56,0,56,60,56
2,0,56,0,56,60,56
3,0,56,0,56,60,56
4,1,56,0,56,60,56
5,3,56,0,56,60,56
6,3,56,0,56,60,56
7,3,54,0,55,60,54
8,4,54,0,55,60,54
9,4,54,0,55,60,54
10,4,54,0,55,60,54
11,4,54,0,55,60,54
12,5,54,0,55,60,54
13,5,54,0,54,60,54
14,5,54,0,54,60,54
15,5,54,0,54,60,54
16,6,54,0,54,60,54
17,6,54,0,54,60,54
18,6,54,0,54,60,54
19,6,54,0,54,60,54
20,7,54,0,54,60,54
21,7,54,0,54,60,54
22,7,54,0,54,60,54
23,7,54,0,54,60,54
24,8,54,0,54,60,54
25,8,54,0,54,60,54
26,8,54,0,54,60,54
27,8,54,0,54,60,54
28,9,54,0,54,60,54
29,9,54,0,54,60,54
30,9,54,0,54,60,54
31,9,54,0,54,60,54
32,10,54,0,54,60,54
33,10,54,0,54,60,54
34,10,54,0,54,60,54
35,10,54,0,54,60,54
36,11,54,0,54,60,54
37,11,54,0,54,60,54
38,11,54,0,54,60,54
39,11,56,0,54,60,54
40,12,56,0,54,60,54
41,12,56,0,54,60,54
42,12,56,0,54,60,54
43,12,57,0,54,60,54
44,13,57,0,54,60,54
45,13,57,0,54,60,54
46,13,59,0,54,60,54
47,13,59,0,54,60,54
48,14,59,0,54,60,54
49,14,59,0,55,60,54
50,14,60,0,55,60,54
51,14,60,0,55,60,54
52,15,60,0,55,60,54
53,15,62,0,55,62,54
54,15,62,0,55,62,54
55,15,62,0,55,62,54
56,16,63,0,55,63,54
57,16,63,0,55,63,54
58,16,63,0,56,63,54
59,16,65,0,56,65,54
60,17,65,0,56,65,54
61,17,65,0,56,65,54
62,17,66,0,56,66,54
63,17,66,0,56,66,54
64,17,66,0,56,66,54
65,18,66,0,57,66,54
66,18,66,0,57,66,54
67,18,68,0,57,68,54
68,18,68,0,57,68,54
69,19,68,0,57,68,54
70,19,69,0,57,69,54
71,19,69,0,57,69,54
72,19,70,0,58,70,54
73,20,70,0,58,70,54
74,20,70,0,58,70,54
75,20,71,0,58,71,54
76,20,71,0,58,71,54
77,21,71,0,58,71,54
78,21,72,0,59,72,54
79,21,72,0,59,72,54
80,21,72,0,59,72,54
81,22,72,0,59,72,54
82,22,72,1,59,72,54
83,22,72,1,59,72,54
84,22,73,1,60,73,54
85,23,73,1,60,73,54
86,23,73,1,60,73,54
87,23,73,1,60,73,54
88,23,73,1,60,73,54
89,24,73,1,60,73,54
90,24,73,1,60,73,54
91,24,72,1,61,73,54
92,24,72,1,61,73,54
93,25,72,1,61,73,54
94,25,72,1,61,73,54
95,25,72,1,61,73,54
96,25,72,1,61,73,54
97,26,72,1,61,73,54
98,26,72,1,61,73,54
99,26,72,1,61,73,54
100,26,72,1,62,73,54
101,27,72,1,62,73,54
102,27,72,1,62,73,54
103,27,72,1,62,73,54
104,27,72,1,62,73,54
105,28,71,1,62,73,54
106,28,71,1,62,73,54
107,28,71,1,62,73,54
108,28,68,1,62,73,54
109,29,68,1,62,73,54
110,29,68,1,62,73,54
111,29,68,1,62,73,54
112,29,68,1,62,73,54
113,30,67,1,62,73,54
114,30,67,1,62,73,54
115,30,67,1,63,73,54
116,30,67,1,63,73,54
117,31,66,1,63,73,54
118,31,66,1,63,73,54
119,31,66,1,63,73,54
120,31,66,1,63,73,54
121,32,65,1,63,73,54
122,32,65,1,63,73,54
123,32,65,1,63,73,54
124,32,65,1,63,73,54
125,33,65,1,63,73,54
126,33,63,1,63,73,54
127,33,63,1,63,73,54
128,33,63,1,63,73,54
129,34,63,1,63,73,54
130,34,62,1,63,73,54
131,34,62,1,63,73,54
132,34,62,1,63,73,54
133,34,62,1,63,73,54
134,35,62,1,63,73,54
135,35,60,1,63,73,54
136,35,60,1,63,73,54
137,35,60,1,63,73,54
138,36,60,1,63,73,54
139,36,60,1,63,73,54
140,36,59,1,63,73,54
141,36,59,1,62,73,54
142,37,59,1,62,73,54
143,37,59,1,62,73,54
144,37,59,1,62,73,54
145,37,58,1,62,73,54
146,38,58,1,62,73,54
147,38,58,1,62,73,54
148,38,58,1,62,73,54
149,38,58,1,62,73,54
150,39,58,1,62,73,54
151,39,58,1,62,73,54
152,39,58,1,62,73,54
153,40,57,1,62,73,54
154,40,57,1,62,73,54
155,40,57,1,62,73,54
156,41,57,1,62,73,54
157,41,57,1,62,73,54
158,41,57,1,62,73,54
159,41,57,1,62,73,54
160,42,57,1,62,73,54
161,42,57,1,62,73,54
162,42,57,1,62,73,54
163,42,57,1,62,73,54
164,43,58,1,62,73,54
165,43,58,1,62,73,54
166,43,58,1,62,73,54
167,43,58,1,62,73,54
168,44,58,1,62,73,54
169,44,58,1,62,73,54
170,44,58,1,62,73,54
171,44,58,1,62,73,54
172,45,59,1,62,73,54
