Max HRT=179
V02=161
Anaerobic=143
Aerobic=125
Fat Burn=107
Warm Up=89
start_time=1326067893
Reading,Time(s),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,63,0,63,70,63
2,1,63,0,63,70,63
3,1,61,0,62,70,61
4,1,61,0,62,70,61
5,1,61,0,61,70,61
6,2,61,0,61,70,61
7,2,61,0,61,70,61
8,2,60,0,61,70,60
9,2,60,0,61,70,60
10,3,60,0,61,70,60
11,3,60,0,61,70,60
12,3,60,0,60,70,60
13,3,59,0,60,70,59
14,4,59,0,60,70,59
15,4,59,0,60,70,59
16,4,59,0,60,70,59
17,4,58,0,60,70,58
18,5,58,0,60,70,58
19,5,58,0,60,70,58
20,5,58,0,59,70,58
21,5,58,0,59,70,58
22,6,58,0,59,70,58
23,6,58,0,59,70,58
24,6,58,0,59,70,58
25,6,58,0,59,70,58
26,7,58,0,59,70,58
27,7,58,0,59,70,58
28,7,58,0,59,70,58
29,7,58,0,59,70,58
30,8,58,0,59,70,58
31,8,58,0,59,70,58
32,8,58,0,59,70,58
33,8,58,0,59,70,58
34,9,58,0,59,70,58
35,9,58,0,59,70,58
36,9,58,0,59,70,58
37,9,58,0,59,70,58
38,10,58,0,59,70,58
39,10,58,0,59,70,58
40,10,58,0,58,70,58
41,10,58,0,58,70,58
42,11,58,0,58,70,58
43,11,58,0,58,70,58
44,11,58,0,58,70,58
45,11,58,0,58,70,58
46,12,58,0,58,70,58
47,12,58,0,58,70,58
48,12,58,0,58,70,58
49,12,58,0,58,70,58
50,13,58,0,58,70,58
51,13,58,0,58,70,58
52,13,58,0,58,70,58
53,13,58,0,58,70,58
54,13,59,0,58,70,58
55,14,59,0,58,70,58
56,14,59,0,58,70,58
57,14,59,0,58,70,58
58,14,61,0,58,70,58
59,15,61,0,58,70,58
60,15,61,0,58,70,58
61,15,62,0,58,70,58
62,15,62,0,58,70,58
63,16,62,0,59,70,58
64,16,64,0,59,70,58
65,16,64,0,59,70,58
66,16,64,0,59,70,58
67,17,64,0,59,70,58
68,17,65,0,59,70,58
69,17,65,0,59,70,58
70,17,65,0,59,70,58
71,18,65,0,59,70,58
72,18,66,0,59,70,58
73,18,66,0,59,70,58
74,18,67,0,59,70,58
75,19,67,0,60,70,58
76,19,67,0,60,70,58
77,19,69,0,60,70,58
78,19,69,0,60,70,58
79,20,69,0,60,70,58
80,20,69,0,60,70,58
81,20,69,1,60,70,58
82,20,69,1,60,70,58
83,21,69,1,60,70,58
84,21,70,1,60,70,58
85,21,70,1,61,70,58
86,21,70,1,61,70,58
87,22,70,1,61,70,58
88,22,70,1,61,70,58
89,22,70,1,61,70,58
90,22,71,1,61,71,58
91,23,71,1,61,71,58
92,23,71,1,61,71,58
93,23,71,1,61,71,58
94,23,71,1,61,71,58
95,24,71,1,62,71,58
96,24,71,1,62,71,58
97,24,71,1,62,71,58
98,24,71,1,62,71,58
99,25,71,1,62,71,58
100,25,71,1,62,71,58
101,25,71,1,62,71,58
102,25,71,1,62,71,58
103,26,71,1,62,71,58
104,26,71,1,62,71,58
105,26,71,1,62,71,58
106,26,70,1,62,71,58
107,27,70,1,63,71,58
108,27,70,1,63,71,58
109,27,69,1,63,71,58
110,27,69,1,63,71,58
111,28,69,1,63,71,58
112,28,69,1,63,71,58
113,28,69,1,63,71,58
114,28,69,1,63,71,58
115,29,69,1,63,71,58
116,29,69,1,63,71,58
117,29,68,1,63,71,58
118,29,68,1,63,71,58
119,29,68,1,63,71,58
120,30,68,1,63,71,58
121,30,67,1,63,71,58
122,30,67,1,63,71,58
123,30,67,1,63,71,58
124,31,67,1,63,71,58
125,31,67,1,63,71,58
126,31,65,1,63,71,58
127,31,65,1,63,71,58
128,32,65,1,63,71,58
129,32,65,1,63,71,58
130,32,65,1,63,71,58
131,32,63,1,63,71,58
132,33,63,1,63,71,58
133,33,63,1,63,71,58
134,33,63,1,63,71,58
135,33,63,1,63,71,58
136,34,61,1,63,71,58
137,34,61,1,63,71,58
138,34,61,1,63,71,58
139,34,61,1,63,71,58
140,35,61,1,63,71,58
141,35,59,1,63,71,58
142,35,59,1,63,71,58
143,35,59,1,63,71,58
144,36,59,1,63,71,58
145,36,59,1,63,71,58
146,36,57,1,63,71,57
147,36,57,1,63,71,57
148,37,57,1,63,71,57
149,37,57,1,63,71,57
150,37,57,1,63,71,57
151,37,56,1,63,71,56
152,38,56,1,63,71,56
153,38,56,1,63,71,56
154,38,56,1,63,71,56
155,38,56,1,63,71,56
156,39,56,1,63,71,56
157,39,56,1,63,71,56
158,39,56,1,62,71,56
159,39,56,1,62,71,56
160,40,56,1,62,71,56
161,40,55,1,62,71,55
162,40,55,1,62,71,55
163,40,55,1,62,71,55
164,41,55,1,62,71,55
165,41,55,1,62,71,55
166,41,54,1,62,71,54
167,41,54,1,62,71,54
168,42,54,1,62,71,54
169,42,54,1,62,71,54
170,42,54,1,62,71,54
171,42,53,1,62,71,53
172,43,53,1,62,71,53
173,43,53,1,62,71,53
174,43,53,1,62,71,53
175,43,53,1,62,71,53
176,44,53,1,62,71,53
177,44,53,1,62,71,53
178,44,53,1,61,71,53
179,44,53,1,61,71,53
180,45,53,1,61,71,53
181,45,52,1,61,71,52
182,45,52,1,61,71,52
183,45,52,1,61,71,52
184,46,52,1,61,71,52
185,46,52,1,61,71,52
186,46,52,1,61,71,52
187,46,52,1,61,71,52
188,46,52,1,61,71,52
189,47,52,1,61,71,52
190,47,52,1,61,71,52
191,47,52,1,61,71,52
192,47,52,1,61,71,52
193,48,52,1,61,71,52
194,48,52,1,61,71,52
195,48,52,1,61,71,52
196,48,52,1,61,71,52
197,49,52,1,61,71,52
198,49,52,1,60,71,52
199,49,52,1,60,71,52
200,49,51,1,60,71,51
201,50,51,1,60,71,51
202,50,51,1,60,71,51
203,50,51,1,60,71,51
204,50,51,1,60,71,51
205,51,51,1,60,71,51
206,51,50,1,60,71,50
207,51,50,1,60,71,50
208,51,50,1,60,71,50
209,52,50,1,60,71,50
210,52,50,1,60,71,50
211,52,50,1,60,71,50
212,52,50,1,60,71,50
213,53,50,1,60,71,50
214,53,50,1,60,71,50
215,53,50,1,60,71,50
216,53,50,1,60,71,50
217,54,50,1,60,71,50
218,54,50,1,59,71,50
219,54,50,1,59,71,50
220,54,50,1,59,71,50
221,55,49,1,59,71,49
222,55,49,1,59,71,49
223,55,49,1,59,71,49
224,55,49,1,59,71,49
225,56,49,1,59,71,49
226,56,49,1,59,71,49
227,56,49,1,59,71,49
228,56,49,1,59,71,49
229,57,49,1,59,71,49
230,57,49,1,59,71,49
231,57,49,1,59,71,49
232,57,49,1,59,71,49
233,58,49,1,59,71,49
234,58,49,1,59,71,49
235,58,49,1,59,71,49
236,58,49,1,59,71,49
237,59,49,1,59,71,49
238,59,49,1,59,71,49
239,59,49,1,59,71,49
240,59,49,1,58,71,49
241,60,49,1,58,71,49
242,60,49,1,58,71,49
243,60,49,1,58,71,49
244,60,49,1,58,71,49
245,61,50,1,58,71,49
246,61,50,1,58,71,49
247,61,50,1,58,71,49
248,61,50,1,58,71,49
249,62,50,1,58,71,49
250,62,50,1,58,71,49
251,62,50,1,58,71,49
252,62,50,1,58,71,49
253,62,50,1,58,71,49
254,63,50,1,58,71,49
255,63,50,1,58,71,49
256,63,50,1,58,71,49
257,63,50,1,58,71,49
258,64,50,1,58,71,49
259,64,50,1,58,71,49
260,64,50,1,58,71,49
261,64,50,1,58,71,49
262,65,50,1,58,71,49
263,65,50,1,58,71,49
264,65,50,1,58,71,49
265,65,49,1,58,71,49
266,66,49,1,58,71,49
267,66,49,1,58,71,49
268,66,49,1,58,71,49
269,66,49,1,57,71,49
270,67,49,1,57,71,49
271,67,49,1,57,71,49
272,67,49,1,57,71,49
273,67,49,1,57,71,49
274,68,49,1,57,71,49
275,68,49,1,57,71,49
276,68,49,1,57,71,49
277,68,49,1,57,71,49
278,69,49,1,57,71,49
279,69,49,1,57,71,49
280,69,49,1,57,71,49
281,69,49,1,57,71,49
282,70,49,1,57,71,49
283,70,49,1,57,71,49
284,70,49,1,57,71,49
285,70,49,1,57,71,49
286,71,49,1,57,71,49
287,71,49,1,57,71,49
288,71,49,1,57,71,49
289,71,49,1,57,71,49
290,72,49,1,57,71,49
291,72,49,1,57,71,49
292,72,49,1,57,71,49
293,72,49,1,57,71,49
294,73,49,1,57,71,49
295,73,49,1,57,71,49
296,73,49,1,57,71,49
297,73,49,1,57,71,49
298,74,49,1,57,71,49
299,74,50,1,57,71,49
300,74,50,1,57,71,49
301,74,50,1,57,71,49
302,75,50,1,57,71,49
303,75,50,1,57,71,49
304,75,50,1,56,71,49
305,75,50,1,56,71,49
306,76,50,1,56,71,49
307,76,50,1,56,71,49
308,76,50,1,56,71,49
309,76,50,1,56,71,49
310,77,50,1,56,71,49
311,77,50,1,56,71,49
312,77,50,1,56,71,49
313,77,50,1,56,71,49
314,78,50,1,56,71,49
315,78,50,1,56,71,49
316,78,50,1,56,71,49
317,78,50,1,56,71,49
318,79,50,1,56,71,49
319,79,52,1,56,71,49
320,79,52,1,56,71,49
321,79,52,1,56,71,49
322,79,52,1,56,71,49
323,80,53,1,56,71,49
324,80,53,1,56,71,49
325,80,53,1,56,71,49
326,80,53,1,56,71,49
327,81,55,1,56,71,49
328,81,55,1,56,71,49
329,81,55,1,56,71,49
330,81,56,1,56,71,49
331,82,56,1,56,71,49
332,82,56,1,56,71,49
333,82,58,1,56,71,49
334,82,58,1,56,71,49
335,83,58,1,56,71,49
336,83,58,1,56,71,49
337,83,59,1,56,71,49
338,83,59,1,56,71,49
339,84,59,1,56,71,49
340,84,60,1,56,71,49
341,84,60,1,56,71,49
342,84,60,1,56,71,49
343,85,60,1,56,71,49
344,85,61,1,56,71,49
345,85,61,1,56,71,49
346,85,61,1,56,71,49
347,86,62,1,56,71,49
348,86,62,1,56,71,49
349,86,62,1,56,71,49
350,86,62,1,56,71,49
351,87,63,1,56,71,49
352,87,63,1,56,71,49
353,87,63,1,56,71,49
354,87,64,1,56,71,49
355,88,64,1,56,71,49
356,88,64,1,56,71,49
357,88,64,1,56,71,49
358,88,65,1,56,71,49
359,89,65,1,56,71,49
360,89,65,1,56,71,49
361,89,66,1,56,71,49
362,89,66,1,56,71,49
363,90,66,1,57,71,49
364,90,67,1,57,71,49
365,90,67,1,57,71,49
366,90,67,1,57,71,49
367,91,67,1,57,71,49
368,91,67,1,57,71,49
369,91,67,2,57,71,49
370,91,67,2,57,71,49
371,92,67,2,57,71,49
372,92,67,2,57,71,49
373,92,67,2,57,71,49
374,92,67,2,57,71,49
375,93,67,2,57,71,49
376,93,67,2,57,71,49
377,93,67,2,57,71,49
378,93,67,2,57,71,49
379,94,67,2,57,71,49
380,94,67,2,57,71,49
381,94,67,2,57,71,49
382,94,67,2,57,71,49
383,95,67,2,57,71,49
384,95,67,2,57,71,49
385,95,67,2,57,71,49
386,95,66,2,57,71,49
387,95,66,2,57,71,49
388,96,66,2,57,71,49
389,96,66,2,57,71,49
390,96,66,2,57,71,49
391,96,66,2,57,71,49
392,97,66,2,57,71,49
393,97,66,2,57,71,49
394,97,66,2,57,71,49
395,97,66,2,57,71,49
396,98,66,2,57,71,49
397,98,66,2,57,71,49
398,98,66,2,57,71,49
399,98,66,2,57,71,49
400,99,66,2,57,71,49
401,99,66,2,57,71,49
402,99,66,2,57,71,49
403,99,66,2,57,71,49
404,100,66,2,57,71,49
405,100,66,2,57,71,49
406,100,66,2,58,71,49
407,100,66,2,58,71,49
408,101,66,2,58,71,49
409,101,66,2,58,71,49
410,101,66,2,58,71,49
411,101,66,2,58,71,49
412,102,66,2,58,71,49
413,102,66,2,58,71,49
414,102,66,2,58,71,49
415,102,66,2,58,71,49
416,103,65,2,58,71,49
417,103,65,2,58,71,49
418,103,65,2,58,71,49
419,103,65,2,58,71,49
420,104,64,2,58,71,49
421,104,64,2,58,71,49
422,104,64,2,58,71,49
423,104,64,2,58,71,49
424,105,64,2,58,71,49
425,105,62,2,58,71,49
426,105,62,2,58,71,49
427,105,62,2,58,71,49
428,106,62,2,58,71,49
429,106,61,2,58,71,49
430,106,61,2,58,71,49
431,106,61,2,58,71,49
432,107,61,2,58,71,49
433,107,61,2,58,71,49
434,107,61,2,58,71,49
435,107,61,2,58,71,49
436,108,61,2,58,71,49
437,108,61,2,58,71,49
438,108,61,2,58,71,49
439,108,61,2,58,71,49
440,109,61,2,58,71,49
441,109,61,2,58,71,49
442,109,61,2,58,71,49
443,109,61,2,58,71,49
444,110,61,2,58,71,49
445,110,61,2,58,71,49
446,110,61,2,58,71,49
447,110,61,2,58,71,49
448,111,61,2,58,71,49
449,111,62,2,58,71,49
450,111,62,2,58,71,49
451,111,62,2,58,71,49
452,112,62,2,58,71,49
453,112,62,2,58,71,49
454,112,62,2,58,71,49
455,112,62,2,58,71,49
456,112,63,2,58,71,49
457,113,63,2,58,71,49
458,113,63,2,58,71,49
459,113,63,2,58,71,49
460,113,63,2,58,71,49
461,114,63,2,58,71,49
462,114,63,2,58,71,49
463,114,64,2,58,71,49
464,114,64,2,58,71,49
465,115,64,2,58,71,49
466,115,65,2,58,71,49
467,115,65,2,58,71,49
468,115,65,2,58,71,49
469,116,65,2,58,71,49
470,116,66,2,58,71,49
471,116,66,2,58,71,49
472,116,66,2,58,71,49
473,117,68,2,58,71,49
474,117,68,2,58,71,49
475,117,68,2,58,71,49
476,117,68,2,58,71,49
477,118,69,2,58,71,49
478,118,69,2,58,71,49
479,118,70,2,58,71,49
480,118,70,2,58,71,49
481,119,70,2,58,71,49
482,119,72,2,58,72,49
483,119,72,3,58,72,49
484,119,72,3,58,72,49
485,120,73,3,59,73,49
486,120,73,3,59,73,49
487,120,73,3,59,73,49
488,120,73,3,59,73,49
489,121,74,3,59,74,49
490,121,74,3,59,74,49
491,121,74,3,59,74,49
492,121,74,3,59,74,49
493,122,74,3,59,74,49
494,122,75,3,59,75,49
495,122,75,3,59,75,49
496,122,75,3,59,75,49
497,123,75,3,59,75,49
498,123,75,3,59,75,49
499,123,75,3,59,75,49
