Max HRT=179
V02=161
Anaerobic=143
Aerobic=125
Fat Burn=107
Warm Up=89
start_time=1326670953
Reading,Time(ms),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,57,0,57,58,56
2,246,57,0,57,58,56
3,492,57,0,57,58,56
4,739,57,0,57,58,56
5,985,57,0,57,58,56
6,1231,57,0,57,58,56
7,1477,57,0,57,58,56
8,1724,57,0,57,58,56
9,1970,57,0,57,58,56
10,2216,57,0,57,58,56
11,2462,57,0,57,58,56
12,2709,57,0,57,58,56
13,2955,57,0,57,58,56
14,3201,57,0,57,58,56
15,3447,57,0,57,58,56
16,3694,57,0,57,58,56
17,3940,57,0,57,58,56
18,4186,57,0,57,58,56
19,4432,57,0,57,58,56
20,4679,57,0,57,58,56
21,4925,57,0,57,58,56
22,5171,57,0,57,58,56
23,5418,57,0,57,58,56
24,5664,57,0,57,58,56
25,5910,57,0,57,58,56
26,6156,57,0,57,58,56
27,6403,57,0,57,58,56
28,6649,57,0,57,58,56
29,6895,57,0,57,58,56
30,7142,57,0,57,58,56
31,7389,57,0,57,58,56
32,7635,57,0,57,58,56
33,7881,57,0,57,58,56
34,8127,57,0,57,58,56
35,8374,57,0,57,58,56
36,8620,57,0,57,58,56
37,8866,57,0,57,58,56
38,9112,57,0,57,58,56
39,9359,57,0,57,58,56
40,9605,57,0,57,58,56
41,9851,57,0,57,58,56
42,10097,57,0,57,58,56
43,10344,57,0,57,58,56
44,10589,57,0,57,58,56
45,10836,58,0,57,58,56
46,11083,58,0,57,58,56
47,11329,58,0,57,58,56
48,11575,58,0,57,58,56
49,11821,58,0,57,58,56
50,12068,58,0,57,58,56
51,12314,58,0,57,58,56
52,12863,58,0,57,58,56
53,12868,58,0,57,58,56
54,13053,58,0,57,58,56
55,13299,58,0,57,58,56
56,13545,58,0,57,58,56
57,13791,58,0,57,58,56
58,17043,58,0,57,58,56
59,17048,58,0,57,58,56
60,17054,61,0,57,61,56
61,17239,61,0,57,61,56
62,17485,61,0,57,61,56
63,17732,61,0,57,61,56
64,17978,61,0,57,61,56
65,18224,61,0,57,61,56
66,18470,61,0,57,61,56
67,18717,61,0,57,61,56
68,18963,62,0,57,62,56
69,19209,62,0,57,62,56
70,19456,62,0,57,62,56
71,19702,63,0,57,63,56
72,19948,63,0,58,63,56
73,20194,63,0,58,63,56
74,20440,63,0,58,63,56
75,20687,63,0,58,63,56
76,20933,63,0,58,63,56
77,21179,63,0,58,63,56
78,21425,63,0,58,63,56
79,21672,62,0,58,63,56
80,21918,62,0,58,63,56
81,22164,62,0,58,63,56
82,22410,62,0,58,63,56
83,22657,63,0,58,63,56
84,22903,63,0,58,63,56
85,23149,63,0,58,63,56
86,23396,63,0,58,63,56
87,23642,63,0,58,63,56
88,23888,63,0,58,63,56
89,24134,63,1,58,63,56
90,24380,63,1,58,63,56
91,24628,63,1,59,63,56
92,24874,63,1,59,63,56
93,25120,63,1,59,63,56
94,25367,63,1,59,63,56
95,25613,63,1,59,63,56
96,25859,63,1,59,63,56
97,26105,63,1,59,63,56
98,26352,63,1,59,63,56
99,26598,63,1,59,63,56
100,26844,63,1,59,63,56
101,27090,63,1,59,63,56
102,27337,63,1,59,63,56
103,27583,63,1,59,63,56
104,27829,63,1,59,63,56
105,28075,63,1,59,63,56
106,28322,63,1,59,63,56
107,28568,63,1,59,63,56
108,28814,63,1,59,63,56
109,29060,63,1,59,63,56
110,29307,63,1,59,63,56
111,29553,63,1,59,63,56
112,29799,63,1,59,63,56
113,30045,63,1,59,63,56
114,30292,62,1,59,63,56
115,30538,62,1,59,63,56
116,30784,62,1,59,63,56
117,31031,62,1,59,63,56
118,31277,62,1,59,63,56
119,31523,62,1,59,63,56
120,31769,62,1,59,63,56
121,32016,62,1,59,63,56
122,32262,63,1,59,63,56
123,32508,63,1,59,63,56
124,32754,63,1,60,63,56
125,33000,63,1,60,63,56
126,33247,63,1,60,63,56
127,33493,63,1,60,63,56
128,33739,63,1,60,63,56
129,33986,63,1,60,63,56
130,34232,63,1,60,63,56
131,34478,63,1,60,63,56
132,34724,64,1,60,64,56
133,34970,64,1,60,64,56
134,35217,64,1,60,64,56
135,35463,64,1,60,64,56
136,35709,65,1,60,65,56
137,35956,65,1,60,65,56
138,36202,65,1,60,65,56
139,36448,65,1,60,65,56
140,36694,65,1,60,65,56
141,36941,65,1,60,65,56
142,37187,65,1,60,65,56
143,37433,65,1,60,65,56
144,37679,65,1,60,65,56
145,37925,65,1,60,65,56
146,38172,65,1,60,65,56
147,38418,65,1,60,65,56
148,38664,65,1,60,65,56
149,38911,65,1,60,65,56
150,39157,65,1,60,65,56
151,39403,65,1,60,65,56
152,39649,65,1,60,65,56
153,39896,65,1,60,65,56
154,40142,65,1,60,65,56
155,40388,65,1,60,65,56
156,40634,65,1,60,65,56
157,40881,65,1,60,65,56
158,41127,65,1,60,65,56
159,41373,65,1,61,65,56
160,41620,65,1,61,65,56
161,41867,66,1,61,66,56
162,42113,66,1,61,66,56
163,42359,66,1,61,66,56
164,42606,66,1,61,66,56
165,42852,66,1,61,66,56
166,43098,66,1,61,66,56
167,43344,66,1,61,66,56
168,43591,67,1,61,67,56
169,43837,67,1,61,67,56
170,44083,67,1,61,67,56
171,44329,67,1,61,67,56
172,44576,67,1,61,67,56
173,44822,67,1,61,67,56
174,45068,67,1,61,67,56
175,45314,68,1,61,68,56
176,45561,68,1,61,68,56
177,45807,68,1,61,68,56
178,46053,69,1,61,69,56
179,46299,69,1,61,69,56
180,46546,69,1,61,69,56
181,46792,69,1,61,69,56
182,47038,69,1,61,69,56
183,47285,69,1,61,69,56
184,47531,69,1,61,69,56
185,47777,69,1,61,69,56
186,48023,69,1,61,69,56
187,48270,69,1,61,69,56
188,48516,69,1,62,69,56
189,48762,69,1,62,69,56
190,49008,69,1,62,69,56
191,49255,69,1,62,69,56
192,49501,69,1,62,69,56
193,49747,69,1,62,69,56
194,49993,69,1,62,69,56
195,50240,69,1,62,69,56
196,50486,69,1,62,69,56
197,50732,69,1,62,69,56
198,50978,69,1,62,69,56
199,51225,69,2,62,69,56
200,51471,69,2,62,69,56
201,51717,69,2,62,69,56
202,51963,69,2,62,69,56
203,52210,69,2,62,69,56
204,52456,69,2,62,69,56
205,52702,69,2,62,69,56
206,52949,69,2,62,69,56
207,53195,69,2,62,69,56
208,53441,69,2,62,69,56
209,53687,70,2,62,70,56
210,53933,70,2,62,70,56
211,54180,70,2,62,70,56
212,54426,70,2,62,70,56
213,54672,70,2,62,70,56
214,54919,70,2,62,70,56
