Name=Helen
Max HRT=178
V02=160
Anaerobic=142
Aerobic=125
Fat Burn=107
Warm Up=89
start_time=1413236080
Reading,Time(s),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0.000,91,0,91,93,72
2,0.246,91,0,91,93,72
3,0.492,91,0,91,93,72
4,0.739,90,0,90,93,72
5,0.985,90,0,90,93,72
6,1.231,90,0,90,93,72
7,1.478,90,0,90,93,72
8,1.724,89,0,90,93,72
9,1.970,89,0,90,93,72
10,2.216,89,0,90,93,72
11,2.463,89,0,89,93,72
12,2.708,89,0,89,93,72
13,2.955,89,0,89,93,72
14,3.201,89,0,89,93,72
15,3.448,89,0,89,93,72
16,3.693,89,0,89,93,72
17,3.940,89,0,89,93,72
18,4.186,89,0,89,93,72
19,4.432,89,0,89,93,72
20,4.679,88,0,89,93,72
21,4.925,88,0,89,93,72
22,5.172,88,0,89,93,72
23,5.419,88,0,89,93,72
24,5.665,88,0,89,93,72
25,5.911,88,0,89,93,72
26,6.158,88,0,89,93,72
27,6.404,88,0,89,93,72
28,6.650,87,0,89,93,72
29,6.896,87,0,88,93,72
30,7.142,87,0,88,93,72
31,7.389,87,0,88,93,72
32,7.635,87,0,88,93,72
33,7.881,87,0,88,93,72
34,8.128,87,0,88,93,72
35,8.374,87,0,88,93,72
36,8.620,87,0,88,93,72
37,8.866,87,0,88,93,72
38,9.113,87,1,88,93,72
39,9.359,87,1,88,93,72
40,9.605,87,1,88,93,72
41,9.851,87,1,88,93,72
42,10.097,87,1,88,93,72
43,10.343,87,1,88,93,72
44,10.590,87,1,88,93,72
45,10.836,87,1,88,93,72
46,11.083,87,1,88,93,72
47,11.329,87,1,88,93,72
48,11.575,87,1,88,93,72
49,11.821,87,1,88,93,72
50,12.068,86,1,88,93,72
51,12.314,86,1,88,93,72
52,12.560,86,1,88,93,72
53,12.807,86,1,87,93,72
54,13.052,86,1,87,93,72
55,13.298,86,1,87,93,72
56,13.545,85,1,87,93,72
57,13.791,85,1,87,93,72
58,14.037,85,1,87,93,72
59,14.283,85,1,87,93,72
60,14.530,85,1,87,93,72
61,14.776,85,1,87,93,72
62,15.023,85,1,87,93,72
63,15.269,85,1,87,93,72
64,15.515,85,1,87,93,72
65,15.761,85,1,87,93,72
66,16.008,85,1,87,93,72
67,16.254,85,1,87,93,72
68,16.500,85,1,87,93,72
69,16.746,85,1,87,93,72
70,16.992,85,1,87,93,72
71,17.239,85,1,87,93,72
72,17.485,85,1,87,93,72
73,17.731,85,1,87,93,72
74,17.977,85,1,87,93,72
75,18.224,84,1,87,93,72
76,18.470,84,1,87,93,72
77,18.717,85,1,87,93,72
78,18.962,85,1,87,93,72
79,19.209,85,1,87,93,72
80,19.455,85,1,86,93,72
81,19.702,85,1,86,93,72
82,19.947,85,1,86,93,72
83,20.194,85,1,86,93,72
84,20.440,85,1,86,93,72
85,20.686,85,1,86,93,72
86,20.932,85,1,86,93,72
87,21.179,85,1,86,93,72
88,21.425,85,1,86,93,72
89,21.673,86,1,86,93,72
90,21.922,86,1,86,93,72
91,22.164,86,1,86,93,72
92,22.411,86,1,86,93,72
93,22.658,87,1,86,93,72
94,22.904,87,1,86,93,72
95,23.639,87,1,86,93,72
96,23.656,87,1,86,93,72
97,23.665,86,1,86,93,72
98,23.889,86,1,86,93,72
99,24.135,86,1,86,93,72
100,24.390,86,1,86,93,72
101,24.639,87,1,86,93,72
102,24.874,87,1,86,93,72
103,26.424,87,1,86,93,72
104,26.434,86,1,86,93,72
105,26.443,86,1,86,93,72
106,26.597,86,1,86,93,72
107,26.844,86,1,86,93,72
108,27.090,86,1,86,93,72
109,27.337,86,1,86,93,72
110,27.583,85,1,86,93,72
111,27.829,85,1,86,93,72
112,28.076,85,1,86,93,72
113,28.322,85,1,86,93,72
114,28.568,85,1,86,93,72
115,28.814,85,1,86,93,72
116,29.061,85,1,86,93,72
117,29.307,85,1,86,93,72
118,29.555,85,2,86,93,72
119,29.799,85,2,86,93,72
120,30.045,85,2,86,93,72
121,30.292,85,2,86,93,72
122,30.538,85,2,86,93,72
123,30.784,85,2,86,93,72
124,31.031,85,2,86,93,72
125,31.277,85,2,86,93,72
126,31.523,85,2,86,93,72
127,31.769,85,2,86,93,72
128,32.016,85,2,86,93,72
129,32.262,85,2,86,93,72
130,32.508,85,2,86,93,72
131,32.754,85,2,86,93,72
132,33.001,85,2,86,93,72
133,33.247,85,2,86,93,72
134,33.493,85,2,86,93,72
135,33.739,85,2,86,93,72
136,33.986,85,2,86,93,72
137,34.232,85,2,86,93,72
138,34.478,85,2,86,93,72
139,34.724,85,2,86,93,72
140,34.971,85,2,86,93,72
141,35.217,85,2,86,93,72
142,35.463,84,2,86,93,72
143,35.710,84,2,86,93,72
144,35.956,84,2,86,93,72
145,36.202,84,2,86,93,72
146,36.448,84,2,86,93,72
147,36.694,84,2,86,93,72
148,36.942,84,2,86,93,72
149,37.187,84,2,86,93,72
150,37.433,84,2,86,93,72
151,37.680,84,2,86,93,72
152,37.926,84,2,86,93,72
153,38.172,85,2,86,93,72
154,38.418,85,2,86,93,72
155,39.748,85,2,86,93,72
156,39.758,85,2,86,93,72
157,39.766,85,2,86,93,72
158,39.896,85,2,86,93,72
159,40.143,85,2,86,93,72
160,40.390,85,2,86,93,72
161,40.635,85,2,86,93,72
162,40.882,84,2,86,93,72
163,41.128,84,2,86,93,72
164,41.374,84,2,86,93,72
165,41.621,84,2,86,93,72
166,41.867,84,2,86,93,72
167,42.113,84,2,86,93,72
168,42.359,83,2,85,93,72
169,42.606,83,2,85,93,72
170,42.852,83,2,85,93,72
171,43.098,84,2,85,93,72
172,43.344,84,2,85,93,72
173,43.591,84,2,85,93,72
174,43.837,85,2,85,93,72
175,44.083,85,2,85,93,72
176,44.329,85,2,85,93,72
177,44.575,85,2,85,93,72
178,44.822,85,2,85,93,72
179,45.068,85,2,85,93,72
180,45.315,85,2,85,93,72
181,45.560,85,2,85,93,72
182,45.807,85,2,85,93,72
183,46.053,85,2,85,93,72
184,46.299,85,2,85,93,72
185,46.545,85,2,85,93,72
186,46.792,85,2,85,93,72
187,47.038,85,2,85,93,72
188,47.284,85,2,85,93,72
189,47.530,85,2,85,93,72
190,47.777,85,2,85,93,72
191,48.023,85,2,85,93,72
